Hora,BTC-USD,USD/EUR,Gold_ETF,Oil_ETF,Dow_Jones,S&P500
2022-03-26 16:00:00+00:00,44294.89453125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 17:00:00+00:00,44386.9609375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 18:00:00+00:00,44440.9375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 19:00:00+00:00,44359.55078125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 20:00:00+00:00,44601.51953125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 21:00:00+00:00,44423.75390625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 22:00:00+00:00,44412.5859375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-26 23:00:00+00:00,44491.90625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 00:00:00+00:00,44695.625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 01:00:00+00:00,44688.546875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 02:00:00+00:00,44704.80859375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 03:00:00+00:00,44700.02734375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 04:00:00+00:00,44628.80859375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 05:00:00+00:00,44656.3359375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 06:00:00+00:00,44661.12890625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 07:00:00+00:00,44720.265625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 08:00:00+00:00,44628.07421875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 09:00:00+00:00,44583.90234375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 10:00:00+00:00,44565.75390625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 11:00:00+00:00,44551.10546875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 12:00:00+00:00,44449.078125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 13:00:00+00:00,44609.5625,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 14:00:00+00:00,44649.95703125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 15:00:00+00:00,44836.5859375,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 16:00:00+00:00,44896.1953125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 17:00:00+00:00,44905.53125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 18:00:00+00:00,44873.51171875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 19:00:00+00:00,44835.3203125,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
2022-03-27 20:00:00+00:00,46079.1171875,0.9101999998092652,182.38999938964844,80.76000213623047,34857.3203125,4543.0498046875
